,,,,,,,,,,
#,"Country,
Other","Total
Cases","Total
Deaths","Total
Recovered","Active
Cases","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
18,South Africa,"3,556,633","93,278","3,360,879","102,476","58,828","1,543","21,772,893","360,131","60,458,185"
19,Netherlands,"3,532,768","21,148","2,915,619","596,001","205,475","1,230","21,107,399","1,227,660","17,193,189"
20,Philippines,"3,168,242","52,857","2,834,596","280,789","28,333",473,"26,084,260","233,264","111,823,010"
21,Malaysia,"2,805,337","31,781","2,732,771","40,785","85,001",963,"42,831,994","1,297,803","33,003,458"
22,Canada,"2,740,077","31,463","2,347,920","360,694","71,634",823,"54,722,072","1,430,605","38,250,988"
23,Czechia,"2,587,229","36,844","2,432,396","117,989","240,907","3,431","48,035,821","4,472,800","10,739,541"
24,Peru,"2,562,534","203,376",N/A,N/A,"76,090","6,039","23,133,453","686,904","33,677,836"
25,Belgium,"2,410,731","28,612","1,939,680","442,439","206,625","2,452","28,436,961","2,437,343","11,667,199"
26,Thailand,"2,316,408","21,919","2,217,124","77,365","33,059",313,"17,270,775","246,481","70,069,379"
27,Iraq,"2,110,683","24,242","2,069,459","16,982","50,727",583,"17,025,776","409,187","41,608,804"
28,Vietnam,"2,007,862","35,480","1,717,964","254,418","20,346",360,"76,176,966","771,918","98,685,254"
29,Romania,"1,895,833","59,212","1,776,122","60,499","99,570","3,110","17,902,633","940,252","19,040,249"
30,Chile,"1,867,101","39,376","1,748,321","79,404","96,399","2,033","28,348,394","1,463,632","19,368,520"
31,Portugal,"1,852,703","19,270","1,523,800","309,633","182,515","1,898","27,780,292","2,736,713","10,150,971"
32,Japan,"1,830,251","18,425","1,723,963","87,863","14,540",146,"30,418,945","241,649","125,880,819"
33,Israel,"1,773,636","8,304","1,492,260","273,072","190,182",890,"41,373,364","4,436,346","9,326,000"
34,Switzerland,"1,659,220","12,566","1,152,563","494,091","189,583","1,436","15,372,970","1,756,519","8,751,952"
35,Greece,"1,650,088","21,888","1,272,988","355,212","159,510","2,116","52,542,972","5,079,203","10,344,727"
36,Australia,"1,640,386","2,633","458,425","1,179,328","63,202",101,"58,533,307","2,255,207","25,954,735"
37,Bangladesh,"1,612,489","28,136","1,552,600","31,753","9,643",168,"11,832,120","70,761","167,212,100"
38,Sweden,"1,560,363","15,470","1,231,227","313,666","153,035","1,517","15,595,387","1,529,543","10,196,111"
39,Austria,"1,428,170","13,915","1,288,191","126,064","157,193","1,532","131,008,822","14,419,661","9,085,430"
40,Serbia,"1,425,147","13,045","1,280,368","131,734","164,126","1,502","7,609,197","876,310","8,683,227"
41,Hungary,"1,327,014","40,237","1,158,509","128,268","137,906","4,182","9,448,157","981,870","9,622,615"
42,Pakistan,"1,320,120","29,003","1,263,005","28,112","5,803",127,"24,085,473","105,879","227,481,933"
43,Jordan,"1,097,474","12,974","1,059,217","25,283","105,945","1,252","14,066,057","1,357,875","10,358,872"
44,Ireland,"1,092,736","6,035","634,513","452,188","217,565","1,202","10,485,477","2,087,666","5,022,584"
45,Denmark,"1,069,423","3,484","803,739","262,200","183,637",598,"112,978,469","19,400,191","5,823,575"
46,Morocco,"1,043,225","14,963","972,291","55,971","27,758",398,"11,237,010","298,991","37,583,131"
47,Kazakhstan,"1,036,385","13,072","969,156","54,157","54,199",684,"11,575,012","605,325","19,121,980"
48,Cuba,"995,631","8,335","971,976","15,320","87,985",737,"12,134,551","1,072,338","11,315,981"
49,Georgia,"990,183","14,425","925,137","50,621","248,953","3,627","13,522,693","3,399,894","3,977,387"
50,Slovakia,"876,448","17,252","827,205","31,991","160,413","3,158","5,244,816","959,937","5,463,710"
51,Nepal,"849,204","11,617","816,003","21,584","28,362",388,"4,991,672","166,711","29,942,040"
52,Bulgaria,"818,229","32,042","635,806","150,381","119,137","4,665","7,923,924","1,153,751","6,867,969"
53,Lebanon,"814,631","9,367","682,977","122,287","120,180","1,382","4,795,578","707,477","6,778,422"
54,Croatia,"811,703","13,073","743,584","55,046","199,616","3,215","3,977,961","978,271","4,066,317"
55,UAE,"802,181","2,188","759,213","40,780","79,628",217,"117,164,844","11,630,298","10,074,105"
56,Tunisia,"780,746","25,777","703,514","51,455","65,015","2,147","3,636,279","302,802","12,008,753"
57,Bolivia,"739,920","20,188","582,249","137,483","62,085","1,694","2,633,963","221,011","11,917,774"
58,Belarus,"714,295","5,808","707,169","1,318","75,630",615,"11,317,944","1,198,358","9,444,542"
59,S. Korea,"687,984","6,281","580,664","101,039","13,401",122,"15,804,065","307,849","51,337,056"
60,Guatemala,"651,774","16,175","612,509","23,090","35,375",878,"3,400,074","184,538","18,424,765"
61,Azerbaijan,"624,918","8,510","608,145","8,263","60,791",828,"5,997,160","583,398","10,279,699"
62,Saudi Arabia,"609,953","8,905","561,542","39,506","17,111",250,"35,198,422","987,413","35,647,122"
63,Costa Rica,"609,882","7,406","564,198","38,278","118,065","1,434","3,105,720","601,226","5,165,643"
64,Ecuador,"602,942","34,206",N/A,N/A,"33,395","1,895","2,187,626","121,166","18,054,805"
65,Sri Lanka,"595,657","15,197","568,049","12,411","27,639",705,"5,726,599","265,719","21,551,339"
66,Panama,"567,578","7,511","505,299","54,768","128,436","1,700","4,805,650","1,087,460","4,419,153"
67,Lithuania,"564,553","7,645","516,265","40,643","211,932","2,870","6,862,227","2,576,062","2,663,844"
68,Myanmar,"533,021","19,301","511,094","2,626","9,696",351,"6,196,289","112,720","54,970,733"
69,Slovenia,"527,322","5,696","460,012","61,614","253,596","2,739","2,215,343","1,065,387","2,079,378"
70,Norway,"504,789","1,381","88,952","414,456","92,007",252,"9,641,288","1,757,298","5,486,427"
71,Uruguay,"500,267","6,225","420,029","74,013","143,251","1,783","4,779,227","1,368,525","3,492,246"
72,Paraguay,"497,336","16,812","450,500","30,024","68,435","2,313","2,159,632","297,174","7,267,223"
73,Dominican Republic,"494,595","4,268","455,449","34,878","44,901",387,"2,773,607","251,799","11,015,167"
74,Kuwait,"460,828","2,475","419,199","39,154","105,510",567,"6,414,145","1,468,560","4,367,642"
75,Ethiopia,"456,279","7,131","371,779","77,369","3,823",60,"4,249,334","35,608","119,336,437"
76,Venezuela,"453,974","5,378","438,341","10,255","16,035",190,"3,359,014","118,643","28,311,991"
77,Palestine,"444,741","4,747","435,366","4,628","84,175",898,"2,886,013","546,227","5,283,544"
78,Mongolia,"404,791","2,084","313,256","89,451","120,494",620,"4,030,048","1,199,625","3,359,422"
79,Egypt,"398,879","22,123","332,531","44,225","3,788",210,"3,693,367","35,075","105,299,885"
80,Libya,"396,452","5,828","383,603","7,021","56,516",831,"2,094,113","298,523","7,014,916"
81,Moldova,"387,920","10,437","366,519","10,964","96,509","2,597","2,486,339","618,563","4,019,540"
82,Honduras,"384,077","10,454","126,927","246,696","37,852","1,030","1,164,276","114,744","10,146,701"
83,Finland,"371,135","1,724","46,000","323,411","66,823",310,"9,042,453","1,628,109","5,553,960"
84,Armenia,"347,377","8,018","333,518","5,841","116,893","2,698","2,636,398","887,150","2,971,762"
85,Kenya,"317,324","5,488","281,343","30,493","5,708",99,"3,143,862","56,554","55,590,559"
86,Bosnia and Herzegovina,"313,185","13,741","192,218","107,226","96,382","4,229","1,549,878","476,970","3,249,423"
87,Oman,"311,698","4,119","301,458","6,121","58,744",776,"25,000,000","4,711,604","5,306,049"
88,Bahrain,"305,414","1,398","285,305","18,711","170,402",780,"8,383,186","4,677,287","1,792,318"
89,Latvia,"301,654","4,726","272,104","24,824","162,695","2,549","5,774,125","3,114,227","1,854,112"
90,Qatar,"295,221",624,"255,431","39,166","105,143",222,"3,260,304","1,161,158","2,807,805"
91,Zambia,"295,028","3,852","272,317","18,859","15,387",201,"3,108,808","162,134","19,174,334"
92,Singapore,"290,986",843,"283,057","7,086","49,144",142,"21,098,774","3,563,324","5,921,094"
93,Estonia,"264,701","1,976","235,680","27,045","199,337","1,488","2,641,797","1,989,444","1,327,907"
94,Nigeria,"250,628","3,095","223,765","23,768","1,171",14,"3,933,209","18,381","213,985,217"
95,North Macedonia,"243,284","8,092","219,616","15,576","116,781","3,884","1,700,555","816,302","2,083,242"
96,Botswana,"237,678","2,514","226,828","8,336","98,029","1,037","2,026,898","835,982","2,424,570"
97,Albania,"230,940","3,265","207,266","20,409","80,384","1,136","1,571,585","547,026","2,872,963"
98,Zimbabwe,"225,934","5,243","206,088","14,603","14,869",345,"1,930,141","127,021","15,195,472"
99,Algeria,"225,484","6,404","154,447","64,633","5,003",142,"230,861","5,123","45,067,726"
100,Cyprus,"223,767",673,"124,370","98,724","183,284",551,"9,477,138","7,762,578","1,220,875"
101,Mozambique,"218,797","2,123","180,990","35,684","6,712",65,"1,181,210","36,234","32,599,712"
102,Uzbekistan,"204,173","1,513","198,283","4,377","5,967",44,"1,377,915","40,273","34,214,741"
103,Montenegro,"202,348","2,466","185,154","14,728","322,114","3,926","1,066,660","1,697,995","628,188"
104,Kyrgyzstan,"188,813","2,828","180,862","5,123","28,225",423,"1,907,195","285,098","6,689,608"
105,Afghanistan,"158,678","7,378","145,947","5,353","3,940",183,"835,235","20,738","40,274,891"
106,Uganda,"157,754","3,394","98,897","55,463","3,289",71,"2,258,524","47,094","47,957,881"
107,Namibia,"154,257","3,814","142,111","8,332","59,066","1,460","900,235","344,705","2,611,609"
108,Ghana,"153,514","1,343","143,151","9,020","4,787",42,"2,158,619","67,311","32,069,303"
109,Rwanda,"124,802","1,403","45,522","77,877","9,282",104,"4,294,704","319,422","13,445,249"
110,Laos,"124,193",488,"7,660","116,045","16,697",66,"945,412","127,109","7,437,829"
111,El Salvador,"123,577","3,832","116,742","3,003","18,906",586,"1,557,257","238,239","6,536,539"
112,Luxembourg,"123,340",934,"101,563","20,843","192,229","1,456","3,885,408","6,055,537","641,629"
113,Cambodia,"120,773","3,015","117,089",669,"7,073",177,"2,779,865","162,807","17,074,619"
114,Jamaica,"110,250","2,522","67,047","40,681","36,984",846,"749,891","251,553","2,981,046"
115,Cameroon,"109,666","1,853","106,050","1,763","3,979",67,"1,751,774","63,561","27,560,552"
116,China,"104,745","4,636","96,658","3,451",73,3,"160,000,000","111,163","1,439,323,776"
117,Maldives,"102,372",265,"97,217","4,890","184,397",477,"1,950,964","3,514,155","555,173"
118,Réunion,"102,216",435,"75,943","25,838","112,929",481,"1,424,291","1,573,562","905,138"
119,Trinidad and Tobago,"100,590","3,180","80,981","16,429","71,520","2,261","541,809","385,229","1,406,458"
120,Angola,"93,524","1,857","83,086","8,581","2,716",54,"1,331,307","38,661","34,435,308"
121,Malawi,"82,506","2,459","64,879","15,168","4,148",124,"513,357","25,811","19,888,958"
122,DRC,"82,306","1,225","50,930","30,151",878,13,"846,704","9,032","93,740,451"
123,Senegal,"82,271","1,908","75,328","5,035","4,722",110,"952,038","54,648","17,421,393"
124,Ivory Coast,"79,088",753,"73,648","4,687","2,888",28,"1,316,977","48,098","27,381,326"
125,Guadeloupe,"73,959",753,"2,250","70,956","184,792","1,881","723,515","1,807,753","400,229"
126,Eswatini,"67,830","1,357","65,604",869,"57,550","1,151","444,611","377,226","1,178,633"
127,French Guiana,"67,275",348,"11,254","55,673","216,619","1,121","533,366","1,717,383","310,569"
128,Malta,"63,409",504,"51,739","11,166","143,022","1,137","1,211,456","2,732,492","443,352"
129,Suriname,"62,734","1,208","49,134","12,392","105,486","2,031","191,892","322,663","594,714"
130,Martinique,"59,583",795,104,"58,684","158,966","2,121","488,892","1,304,349","374,817"
131,Fiji,"59,418",730,"52,896","5,792","65,551",805,"485,503","535,619","906,434"
132,Madagascar,"55,138","1,169","50,381","3,588","1,916",41,"352,115","12,233","28,784,078"
133,Mauritania,"54,393",903,"41,310","12,180","11,244",187,"632,611","130,777","4,837,308"
134,Cabo Verde,"53,987",372,"50,172","3,443","95,506",658,"400,982","709,362","565,271"
135,Sudan,"50,984","3,358","40,329","7,297","1,122",74,"562,941","12,394","45,421,618"
136,Syria,"50,674","2,944","34,394","13,336","2,791",162,"146,269","8,057","18,153,516"
137,Guyana,"50,121","1,086","39,302","9,733","63,253","1,371","465,971","588,058","792,389"
138,French Polynesia,"47,009",636,N/A,N/A,"165,872","2,244",N/A,N/A,"283,405"
139,Gabon,"45,152",297,"39,532","5,323","19,577",129,"1,517,236","657,840","2,306,389"
140,Iceland,"44,974",44,"35,260","9,670","130,492",128,"1,477,841","4,287,960","344,649"
141,Belize,"40,612",608,"32,429","7,575","99,364","1,488","418,748","1,024,538","408,719"
142,Papua New Guinea,"36,435",596,"35,786",53,"3,957",65,"249,149","27,060","9,207,416"
143,Burundi,"36,257",38,773,"35,446","2,916",3,"345,742","27,805","12,434,355"
144,Channel Islands,"35,903",122,"31,548","4,233","203,616",692,"1,161,014","6,584,437","176,327"
145,Togo,"35,665",261,"28,439","6,965","4,158",30,"643,207","74,995","8,576,711"
146,Guinea,"35,202",406,"30,929","3,867","2,573",30,"578,214","42,268","13,679,689"
147,Barbados,"34,961",269,"29,511","5,181","121,428",934,"500,252","1,737,493","287,916"
148,Mayotte,"33,757",186,"2,964","30,607","119,315",657,"176,919","625,326","282,923"
149,Curaçao,"32,892",202,"21,287","11,403","199,195","1,223","422,498","2,558,656","165,125"
150,Lesotho,"31,734",687,"19,915","11,132","14,635",317,"364,750","168,214","2,168,363"
151,Seychelles,"31,098",136,"25,416","5,546","313,226","1,370",N/A,N/A,"99,283"
152,Bahamas,"30,655",719,"23,020","6,916","76,826","1,802","200,421","502,282","399,021"
153,Tanzania,"30,564",740,N/A,N/A,490,12,N/A,N/A,"62,346,048"
154,Aruba,"30,420",184,"28,418","1,818","283,074","1,712","177,885","1,655,314","107,463"
155,Andorra,"29,888",142,"24,030","5,716","385,876","1,833","249,838","3,225,589","77,455"
156,Mali,"28,321",688,"23,293","4,340","1,339",33,"569,746","26,943","21,146,192"
157,Haiti,"27,082",780,"23,891","2,411","2,331",67,"132,422","11,400","11,616,215"
158,Benin,"26,036",162,"25,033",841,"2,065",13,"604,310","47,920","12,610,747"
159,Mauritius,"24,729",762,"22,586","1,381","19,395",598,"358,675","281,311","1,275,014"
160,Somalia,"24,261","1,335","13,182","9,744","1,464",81,"400,466","24,162","16,573,922"
161,Congo,"22,969",371,"18,993","3,605","4,011",65,"328,562","57,374","5,726,657"
162,Burkina Faso,"20,127",339,"18,428","1,360",924,16,"242,231","11,120","21,783,240"
163,Timor-Leste,"19,861",122,"19,715",24,"14,636",90,"226,374","166,816","1,357,026"
164,Taiwan,"17,769",851,"16,064",854,744,36,"9,739,306","407,791","23,883,082"
165,Nicaragua,"17,563",214,"4,225","13,124","2,604",32,N/A,N/A,"6,745,719"
166,Tajikistan,"17,095",124,"16,966",5,"1,733",13,N/A,N/A,"9,866,673"
167,Saint Lucia,"16,969",314,"13,783","2,872","91,765","1,698","116,945","632,415","184,918"
168,South Sudan,"16,489",136,"12,934","3,419","1,447",12,"310,727","27,268","11,395,479"
169,Brunei,"15,750",98,"15,381",271,"35,479",221,"697,770","1,571,837","443,920"
170,Equatorial Guinea,"15,319",178,"13,539","1,602","10,395",121,"273,437","185,543","1,473,714"
171,New Zealand,"15,001",52,"13,944","1,005","2,999",10,"5,776,926","1,154,900","5,002,100"
172,Djibouti,"14,841",189,"13,984",668,"14,693",187,"266,658","263,996","1,010,083"
173,Isle of Man,"14,126",70,"13,755",301,"164,783",817,"133,676","1,559,358","85,725"
174,New Caledonia,"13,536",281,"12,610",645,"46,721",970,"98,964","341,587","289,718"
175,CAR,"13,319",108,"6,859","6,352","2,686",22,"74,519","15,028","4,958,802"
176,Hong Kong,"13,030",213,"12,327",490,"1,717",28,"31,341,334","4,129,016","7,590,509"
177,Cayman Islands,"11,666",15,"8,093","3,558","174,359",224,"215,963","3,227,761","66,908"
178,Gambia,"11,122",344,"9,844",934,"4,412",136,"135,608","53,794","2,520,893"
179,Gibraltar,"10,752",100,"8,933","1,719","319,278","2,969","469,373","13,937,908","33,676"
180,San Marino,"10,350",103,"8,495","1,752","304,045","3,026","114,526","3,364,355","34,041"
181,Yemen,"10,218","1,988","7,045","1,185",331,64,"265,253","8,602","30,834,940"
182,Faeroe Islands,"9,761",15,"7,538","2,208","198,604",305,"692,000","14,079,922","49,148"
183,Grenada,"9,535",203,"6,082","3,250","84,139","1,791","110,517","975,222","113,325"
184,Eritrea,"8,876",86,"8,255",535,"2,451",24,"23,693","6,542","3,621,866"
185,Bermuda,"8,541",110,"6,549","1,882","137,927","1,776","728,035","11,756,912","61,924"
186,Sint Maarten,"8,433",75,"5,715","2,643","193,311","1,719","62,056","1,422,520","43,624"
187,Niger,"8,366",288,"7,305",773,327,11,"211,457","8,276","25,550,833"
188,Greenland,"7,871",3,"2,761","5,107","138,279",53,"159,603","2,803,939","56,921"
189,Dominica,"7,822",48,"7,169",605,"108,246",664,"135,536","1,875,645","72,261"
190,Comoros,"7,745",159,"6,788",798,"8,624",177,N/A,N/A,"898,055"
191,Saint Martin,"7,713",60,"1,399","6,254","194,385","1,512","78,366","1,974,999","39,679"
192,Sierra Leone,"7,529",125,N/A,N/A,915,15,"259,958","31,601","8,226,186"
193,Liechtenstein,"7,153",72,"6,582",499,"186,782","1,880","80,413","2,099,775","38,296"
194,Liberia,"7,121",287,"5,747","1,087","1,359",55,"139,824","26,683","5,240,245"
195,Guinea-Bissau,"7,004",152,"6,337",515,"3,434",75,"114,550","56,168","2,039,434"
196,Monaco,"6,610",44,"6,095",471,"166,625","1,109","54,960","1,385,430","39,670"
197,St. Vincent Grenadines,"6,581",85,"5,574",922,"59,032",762,"94,386","846,648","111,482"
198,Chad,"6,556",185,"4,874","1,497",382,11,"191,341","11,157","17,149,390"
199,Sao Tome and Principe,"5,495",65,"3,992","1,438","24,378",288,"29,036","128,813","225,412"
200,Caribbean Netherlands,"5,438",25,"4,460",953,"204,451",940,"30,126","1,132,642","26,598"
201,Antigua and Barbuda,"5,321",120,"4,175","1,026","53,652","1,210","18,685","188,402","99,176"
202,British Virgin Islands,"5,255",42,N/A,N/A,"172,069","1,375","96,147","3,148,232","30,540"
203,Turks and Caicos,"4,956",30,"4,110",816,"125,399",759,"94,789","2,398,386","39,522"
204,Saint Kitts and Nevis,"4,882",28,"3,494","1,360","90,781",521,"63,428","1,179,441","53,778"
205,St. Barth,"2,927",6,N/A,N/A,"294,971",605,"56,491","5,692,936","9,923"
206,Bhutan,"2,904",3,"2,654",247,"3,701",4,"1,341,687","1,709,874","784,670"
207,Anguilla,"2,040",6,"1,857",177,"134,131",395,"51,382","3,378,394","15,209"
208,Diamond Princess,712,13,699,0,N/A,N/A,N/A,N/A,N/A
209,Wallis and Futuna,454,7,438,9,"41,514",640,"20,508","1,875,274","10,936"
210,Saint Pierre Miquelon,415,N/A,217,198,"72,174",N/A,"15,956","2,774,957","5,750"
211,Montserrat,129,1,61,67,"25,815",200,"7,277","1,456,274","4,997"
212,Falkland Islands,85,N/A,N/A,N/A,"23,377",N/A,"8,528","2,345,435","3,636"
213,Macao,79,N/A,77,2,119,N/A,"5,075","7,655","662,941"
214,Palau,64,N/A,14,50,"3,511",N/A,"19,159","1,051,133","18,227"
215,Vatican City,27,N/A,27,0,"33,582",N/A,N/A,N/A,804
216,Solomon Islands,25,N/A,20,5,35,N/A,"4,500","6,314","712,751"
217,Western Sahara,10,1,8,1,16,2,N/A,N/A,"619,892"
218,MS Zaandam,9,2,7,0,N/A,N/A,N/A,N/A,N/A
219,Vanuatu,7,1,6,0,22,3,"23,000","72,289","318,168"
220,Marshall Islands,7,N/A,4,3,117,N/A,N/A,N/A,"59,804"
221,Samoa,3,N/A,3,0,15,N/A,N/A,N/A,"200,442"
222,Saint Helena,2,N/A,2,0,328,N/A,N/A,N/A,"6,105"
223,Micronesia,1,N/A,1,0,9,N/A,N/A,N/A,"116,877"
224,Tonga,1,N/A,1,0,9,N/A,N/A,N/A,"107,537"
